date,open,close,high,low,volume
2024-01-02,1595.45,1567.55,1598.41,1561.12,32156.44
2024-01-03,1563.92,1575.91,1577.05,1559.47,20229.29
2024-01-04,1574.98,1552.65,1574.98,1547.01,21551.07
2024-01-05,1545.52,1547.41,1561.64,1536.94,20242.86
2024-01-08,1545.21,1529.39,1546.14,1525.68,25586.2
2024-01-09,1526.61,1526.61,1537.14,1521.09,24412.04
2024-01-10,1526.7,1527.07,1543.78,1523.81,17350.67
2024-01-11,1525.77,1531.79,1542.36,1523.87,16440.55
2024-01-12,1525.65,1528.52,1536.15,1525.12,11603.24
2024-01-15,1521.02,1525.68,1539.6,1520.51,17854.03
2024-01-16,1524.28,1525.15,1532.19,1511.67,25903.14
2024-01-17,1516.37,1467.07,1521.47,1467.07,51632.76
2024-01-18,1464.28,1498.58,1500.37,1447.11,60439.81
2024-01-19,1496.72,1521.02,1523.82,1489.28,46378.43
2024-01-22,1515.44,1527.54,1528.47,1506.03,46945.89
2024-01-23,1518.24,1506.14,1525.63,1496.84,34834.9
2024-01-24,1515.44,1512.65,1519.94,1491.78,33216.35
2024-01-25,1513.41,1523.81,1526.61,1508.93,31205.8
2024-01-26,1516.71,1523.18,1529.49,1509.86,26954.75
2024-01-29,1525.95,1534.98,1544.82,1525.95,31420.68
2024-01-30,1534.96,1500.56,1534.96,1497.77,30866.33
2024-01-31,1500.56,1493.03,1507.04,1486.72,29649.12
2024-02-01,1493.58,1497.79,1510.69,1489.39,26485.15
2024-02-02,1502.42,1484.74,1514.31,1470.79,39382.02
2024-02-05,1484.74,1516.38,1523.29,1484.04,53130.36
2024-02-06,1516.38,1559.17,1567.98,1512.74,52472.04
2024-02-07,1563.85,1591.72,1595.07,1545.78,52601.07
2024-02-08,1600.11,1587.07,1604.75,1567.54,46756.54
2024-02-19,1616.72,1577.24,1616.78,1570.33,36977.44
2024-02-20,1579.04,1553.58,1579.04,1541.08,34470.07
2024-02-21,1549.88,1597.92,1610.33,1546.14,46154.07
2024-02-22,1588.47,1598.59,1602.9,1581.99,22793.61
2024-02-23,1591.83,1594.6,1604.17,1581.51,27305.89
2024-02-26,1588.94,1576.82,1589.62,1567.56,27318.32
2024-02-27,1565.68,1571.72,1574.91,1561.03,22079.85
2024-02-28,1571.19,1564.33,1578.3,1557.31,31867.31
2024-02-29,1564.33,1576.84,1578.24,1562.14,24758.33
2024-03-01,1572.19,1567.59,1576.81,1559.8,26867.96
2024-03-04,1561.96,1559.44,1563.81,1553.63,26484.77
2024-03-05,1554.34,1576.93,1578.7,1550.5,36238.37
2024-03-06,1573.12,1563.4,1576.84,1561.04,22142.48
2024-03-07,1562.89,1566.26,1572.0,1561.03,21599.12
2024-03-08,1563.41,1554.91,1569.1,1553.63,22156.23
2024-03-11,1558.24,1576.37,1580.45,1556.54,29895.09
2024-03-12,1575.86,1623.36,1627.17,1572.65,54226.54
2024-03-13,1618.68,1607.03,1626.15,1600.19,26499.54
2024-03-14,1599.17,1596.96,1613.9,1592.19,19404.79
2024-03-15,1593.12,1597.76,1611.63,1592.66,17833.58
2024-03-18,1595.45,1589.18,1599.96,1580.56,26055.01
2024-03-19,1584.28,1588.95,1600.04,1575.08,23947.53
2024-03-20,1584.62,1590.42,1594.22,1581.71,15249.25
2024-03-21,1589.03,1589.87,1599.17,1585.68,16595.97
2024-03-22,1586.17,1582.75,1589.86,1570.33,25456.14
2024-03-25,1580.13,1571.27,1580.35,1563.43,24472.85
2024-03-26,1569.83,1590.14,1593.4,1569.83,28069.07
2024-03-27,1586.14,1582.42,1592.66,1580.56,18112.58
2024-03-28,1576.84,1583.02,1598.24,1575.17,24642.18
2024-03-29,1583.02,1584.19,1591.72,1579.73,13456.55
2024-04-01,1590.79,1601.34,1613.12,1589.59,27131.37
2024-04-02,1601.96,1594.51,1604.74,1586.19,25449.25
2024-04-03,1613.12,1595.55,1618.18,1590.81,29045.8
2024-04-08,1576.84,1550.48,1577.77,1546.7,59166.59
2024-04-09,1544.9,1546.35,1556.37,1542.84,25589.82
2024-04-10,1546.39,1533.1,1548.92,1530.33,27630.5
2024-04-11,1525.78,1533.12,1534.98,1520.74,22766.24
2024-04-12,1535.91,1520.12,1548.0,1520.12,26744.33
2024-04-15,1521.03,1556.36,1558.8,1521.01,35817.71
2024-04-16,1549.39,1553.58,1562.48,1543.35,26266.23
2024-04-17,1551.72,1550.79,1558.42,1542.42,24819.11
2024-04-18,1543.36,1554.31,1565.66,1542.59,26568.41
